user_id,username,name,description,location,created_at,followers_count,following_count,tweet_count,listed_count
1348984952768094210,YearCovid,Covid One Year Ago,"Livetweeting the covid pandemic as it happened on this date in 2020

contact: yearcovidcontact@gmail.com

Run by volunteers- all support appreciated!",,2021-01-12T13:28:06.000Z,39459.0,0.0,132.0,230.0
277495248,IrenePasquetto,Irene Pasquetto,Information / infrastructures / epistemology. Assistant Professor @UMSI. Co-founder HKS Misinformation Review @ShorensteinCtr @Kennedy_School.,"Boston, MA",2011-04-05T13:54:39.000Z,1500.0,488.0,4092.0,65.0
770729895374708736,KolinaKoltai,"Kolina Koltai, PhD","Postdoc at @uwcip. PhD from @utischool. Researching anti-vaccine movement, misinfo, social networks.
Sunglasses addict 😎
she/her","Seattle, WA",2016-08-30T21:08:21.000Z,1780.0,959.0,2365.0,45.0
613537091,NNLMPSR,Network of the National Library of Medicine - PSR,"NNLM PSR serves the biomedical information needs of Arizona, California, Hawaii, Nevada & U.S. Territories in the Pacific.","Los Angeles, CA",2012-06-20T15:48:18.000Z,558.0,337.0,11962.0,74.0
607381756,HuiWen_Chan,Hui Wen Chan,,,2012-06-13T17:08:47.000Z,136.0,104.0,119.0,8.0
283013851,ajftwombly,A.J. Fuentes Twombly,"Cuban American, Daughter of Refugees, Ex-CIA, Feminist, Democrat. @TrumanProject I @CFR_org","New York, NY",2011-04-16T11:45:23.000Z,1726.0,895.0,769.0,10.0
2937712713,Kendeou,Dr. Panayiota (Pani) Kendeou,"Professor and Guy Bond Chair in Reading @UMNews | Director of UMN Reading + Learning Lab | Editor-in-Chief, Journal of Educational Psychology","Twin Cities, MN",2014-12-23T01:00:00.000Z,722.0,674.0,220.0,6.0
472445453,yonatanlupu,Yonatan Lupu,@GWtweets political scientist.  Studies online extremism; repression of human rights; political violence; international relations.,"Washington, DC",2012-01-23T23:29:05.000Z,1457.0,441.0,1421.0,27.0
2698297832,EKarafillakis,Emilie Karafillakis,Researcher at the Vaccine Confidence Project at LSHTM,London,2014-08-01T13:43:31.000Z,120.0,145.0,8.0,0.0
145589194,mathver,Mathias Vermeulen,"Tweets on online content regulation, disinformation, privacy. Now: Director @A__W______O/ VUB. Then: EU Parliament + UN. PhD in EU law.",Brussels,2010-05-19T10:13:28.000Z,3633.0,3175.0,10233.0,189.0
855328044,KateDommett,Dr Kate Dommett,"Senior Lecturer, University of Sheffield. Digital campaigning, political advertising, micro-targeting & data. Ex-Spad for @HLDemoDigital. Cyclist 🚴‍♀️",,2012-09-30T20:48:40.000Z,2806.0,2166.0,3892.0,47.0
18035515,EmmaRubySachs,Emma Ruby-Sachs,Executive Director at @SumOfUs. Writer. Lawyer. Terrible tweeter.,,2008-12-11T00:26:04.000Z,1019.0,606.0,880.0,49.0
1558283664,kareem_carr,🔥 Kareem Carr 🔥,Statistician. PhD student @Harvard. I tweet about statistics and data science. My mission is to make statistical thinking fun and accessible to everybody.,"Cambridge, MA",2013-06-30T15:33:59.000Z,64651.0,851.0,11535.0,585.0
2251623492,xkcdComic,XKCD Comic,"XKCD comic feed with images and mobile friendly links. Unofficial, run by @dghubble",,2013-12-18T08:00:58.000Z,343012.0,1.0,1209.0,3215.0
47756728,SGregurickNIH,Susan Gregurick,"I am the Associate Director for Data Science at the National Institutes of Health. All views, likes, and retweets are my own","Washington, DC",2009-06-16T22:31:03.000Z,516.0,295.0,926.0,22.0
340799682,seyiakiwowo,Seyi Akiwowo,"An Accidental CEO @GlitchUK_, a Recovering Politician and forever a Dickhead in Recovery.
Grace, Ethics and Digital Self Care.",,2011-07-23T08:35:42.000Z,17139.0,1504.0,55864.0,117.0
215966785,Abdukhalim1,AbdelHalim AbdAllah (Halim),I communicate for a living. Fighting health misinformation and the #COVID19 #infodemic with @WHO_AFRO. All caveats apply. DMs are open.,,2010-11-15T12:40:54.000Z,2096.0,947.0,16945.0,100.0
393562221,USDOT,TransportationGov,The official Twitter account of the U.S. Department of Transportation.,"Washington, DC",2011-10-18T18:36:30.000Z,249257.0,1198.0,8386.0,1947.0
1356958547603513346,SecretaryPete,Secretary Pete Buttigieg,19th Secretary of Transportation. Working to ensure safety and make transportation more equitable while fighting climate change and creating jobs. (he/him),"Washington, D.C.",2021-02-03T13:32:51.000Z,186474.0,91.0,133.0,689.0
1149023588818624512,uwcip,Center for an Informed Public,"University of Washington research center. Resisting strategic misinformation, promoting an informed society, and strengthening democratic discourse.","Seattle, WA",2019-07-10T18:32:26.000Z,4208.0,352.0,1015.0,123.0
860107374698352641,GeorgesBenjami7,Georges Benjamin,Executive Director American Public Health Association,"Washington,DC,USA",2017-05-04T12:22:32.000Z,792.0,15.0,3.0,17.0
226222147,PeteButtigieg,Pete Buttigieg,"Personal account. For official updates, follow @SecretaryPete. Husband, veteran, writer, South Bend’s former Mayor Pete. (he/him)","South Bend, Indiana",2010-12-13T16:49:04.000Z,3472242.0,2789.0,12713.0,9935.0
23227706,deniswirtz,Denis Wirtz,"VP for Research @JohnsHopkins, Co-founder @INBT_JHU, T.H. Smoot Professor @HopkinsEngineer & @HopkinsMedicine, Lab: https://t.co/g6JIo3nUkb Tweets are my own.","Baltimore, MD",2009-03-07T19:56:13.000Z,13670.0,3777.0,18727.0,146.0
473599009,Mageina,Mageina Tovah,#vote,,2012-01-25T04:22:26.000Z,6481.0,385.0,1678.0,79.0
135575641,Psalmuel35,Psalmuel Olaniran,"""It's not what you look at that matters, it's what you see."" - Thoreau",,2010-04-21T17:55:46.000Z,423.0,1544.0,5994.0,8.0
14750886,loganex,Logan Molyneux,Not the greatest newspaperman ever. Professor at @TUKleincollege,"Philadelphia, PA",2008-05-12T22:27:04.000Z,753.0,465.0,2898.0,43.0
176648414,Trek_Rav,Chief Rabbi of the Starship Enterprise,"Set your twitter profile for the job you want, not the job you have. Smicha from Keter HaTorah. https://t.co/p1txmVMYxk",WashingtonDC .us,2010-08-10T02:22:16.000Z,522.0,444.0,7336.0,23.0
1221415440,sarahshirazyan,Sarah Shirazyan,Misinformation|Content Policy. Lecturer in Law @stanfordlaw. Previously @StanfordCISAC @UN_Disarmament @INTERPOL_HQ @ECHR_CEDH |Alum @stanfordlaw.,"Stanford, CA",2013-02-26T12:08:21.000Z,250.0,580.0,115.0,6.0
1331107444416770048,TheOvalPawffice,The Oval Pawffice® 🇺🇸 Fans,"Pawffice of #DOTUS & #COTUS - the fan page for #Champ, #Major & #Winston Biden. Not affiliated with the #WhiteHouse. #FirstDogs #FirstCat #YappyHourCentral","Washington, DC",2020-11-24T05:29:18.000Z,213830.0,236.0,2703.0,426.0
1349149096909668363,POTUS,President Biden,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/IURuMIrzxb",,2021-01-13T00:37:08.000Z,8848503.0,12.0,294.0,9612.0
24355706,JosephineLukito,"Jo(sephine) Lukito, Ph.D",@UTJschool Asst. Prof | Newly minted @uw_sjmc Ph.D 🎓 | Modern Kilogirl | Computational sociolinguistics + global #polcomm & #disinfo in #rstats | she/her,"Wisconsin, USA",2009-03-14T10:58:45.000Z,2389.0,1202.0,4029.0,48.0
576788665,yinizhang2011,Yini Zhang,"assistant professor @CommDepUB, #polcomm, #networks, #computationalmethods","Buffalo, NY",2012-05-11T03:01:49.000Z,463.0,1437.0,593.0,8.0
215374612,nataschachtena,Natascha Chtena,"Editor-in-Chief at the HKS Misinformation Review | Postdoc @ShorensteinCtr @Kennedy_School | Digital scholarship, open education, academic labor.",,2010-11-13T19:19:33.000Z,677.0,927.0,1198.0,16.0
394087611,angie_rasmussen,Dr. Angela Rasmussen,Excessively direct virologist. Affiliate @georgetown_ghss. Soon @VIDOInterVac. Emerging virus host responses. 1X Jeopardy! loser. Rep: @anniescranton. she/her,"Seattle, WA",2011-10-19T15:10:56.000Z,206901.0,4728.0,13804.0,3498.0
117539435,jengolbeck,Dr. Jen Golbeck,"Prof @ UMD, Computer Scientist
Research, science, truth, justice, the American way
I'm also @theGoldenRatio4
💗💜💙","College Park, MD",2010-02-25T21:41:03.000Z,34302.0,458.0,8759.0,451.0
253511079,lotus_ruan,lotus,"research @citizenlab | study @UofT_PolSci @AI_UofT | internet governance, digital rights, media manipulation |  面斥不雅 | two-cents @ForeignPolicy @ChinaFile etc",,2011-02-17T11:42:03.000Z,3375.0,1092.0,11986.0,153.0
26024118,gabriellelim,Gabrielle Lim,"Researcher at the Technology and Social Change Project @ShorensteinCtr + Associate @CitizenLab. Mostly the politics of information, the internet, and security.",,2009-03-23T15:41:06.000Z,1236.0,577.0,2101.0,46.0
382376904,fightfortheftr,Fight for the Future,Digital rights are human rights. There's hardly anything as important as ensuring that our shared future has freedom of expression and creativity at its core.,The Internet,2011-09-29T23:43:55.000Z,99844.0,3073.0,32311.0,1723.0
175292337,hypervisible,what is proctoring if not surveillance persevering,"Professor & snowboarder. I spend a lot of time thinking (& not enough time writing) about surveillance, privacy, tech & data in education. #digitalredlining",,2010-08-06T05:44:19.000Z,18192.0,1392.0,64867.0,579.0
131623639,jonathan_c_ong,Jonathan Corpus Ong,"Associate Professor of Global Digital Media, Uni of Massachusetts. @ShorensteinCtr Fellow, TaSC Project, Harvard Kennedy School.","Amherst, MA",2010-04-10T21:00:13.000Z,2921.0,1686.0,5938.0,66.0
3116004017,ReFrameMentor,ReFrame,Growing the human-centered narrative ecosystem we need to win.,Global,2015-03-25T21:23:44.000Z,1026.0,487.0,983.0,24.0
1212123848159584256,womenindisinfo,𝕎𝕠𝕞𝕖𝕟 𝕠𝕗 𝕀𝕟𝕗𝕝𝕦𝕖𝕟𝕔𝕖,"Community of female academics & researchers with expertise in infowarfare, propaganda studies & disinfo. RTs our experts. Trans-friendly. Admin = @emmalbriant",,2019-12-31T21:30:35.000Z,2518.0,512.0,1581.0,65.0
21016633,stevenrenderos,Steven Renderos,"I'm an organizer, artist and currently the Executive Director of @MediaJustice. Grew up in LA but based in the Bay.","Oakland, CA",2009-02-16T19:27:25.000Z,1939.0,1143.0,8754.0,68.0
